date,wteq_cm,snwd_cm
2017-08-17,,0.0
2017-08-18,,0.0
2017-08-19,,0.0
2017-08-20,,0.0
2017-08-21,,0.0
2017-08-22,,0.0
2017-08-23,,0.0
2017-08-24,,0.0
2017-08-25,,0.0
2017-08-26,,0.0
2017-08-27,,0.0
2017-08-28,,0.0
2017-08-29,,0.0
2017-08-30,,0.0
2017-08-31,,0.0
2017-09-01,,0.0
2017-09-02,,0.0
2017-09-03,,0.0
2017-09-04,,0.0
2017-09-05,,0.0
2017-09-06,,0.0
2017-09-07,,0.0
2017-09-08,,0.0
2017-09-09,,0.0
2017-09-10,,0.0
2017-09-11,,0.0
2017-09-12,,0.0
2017-09-13,,0.0
2017-09-14,,0.0
2017-09-15,,0.0
2017-09-16,,0.0
2017-09-17,,0.0
2017-09-18,,0.0
2017-09-19,,0.0
2017-09-20,,0.0
2017-09-21,,0.0
2017-09-22,,0.0
2017-09-23,,0.0
2017-09-24,,0.0
2017-09-25,,0.0
2017-09-26,,0.0
2017-09-27,,0.0
2017-09-28,,0.0
2017-09-29,,0.0
2017-09-30,,0.0
2017-10-01,,0.0
2017-10-02,,0.0
2017-10-03,,0.0
2017-10-04,,0.0
2017-10-05,,0.0
2017-10-06,,0.0
2017-10-07,,0.0
2017-10-08,,0.0
2017-10-09,,0.0
2017-10-10,,0.0
2017-10-11,,0.0
2017-10-12,,0.0
2017-10-13,,5.08
2017-10-14,,0.0
2017-10-15,,0.0
2017-10-16,,0.0
2017-10-17,,0.0
2017-10-18,,0.0
2017-10-19,,0.0
2017-10-20,,0.0
2017-10-21,,5.08
2017-10-22,,25.4
2017-10-23,,12.7
2017-10-24,,7.62
2017-10-25,,7.62
2017-10-26,,2.54
2017-10-27,,0.0
2017-10-28,,0.0
2017-10-29,,0.0
2017-10-30,,0.0
2017-10-31,,0.0
2017-11-01,,0.0
2017-11-02,,0.0
2017-11-03,,0.0
2017-11-04,,0.0
2017-11-05,,0.0
2017-11-06,,7.62
2017-11-07,,5.08
2017-11-08,,5.08
2017-11-09,,2.54
2017-11-10,,10.16
2017-11-11,,17.78
2017-11-12,,15.24
2017-11-13,,12.7
2017-11-14,,12.7
2017-11-15,,12.7
2017-11-16,,17.78
2017-11-17,,12.7
2017-11-18,,15.24
2017-11-19,,17.78
2017-11-20,,17.78
2017-11-21,,17.78
2017-11-22,,12.7
2017-11-23,,10.16
2017-11-24,,10.16
2017-11-25,,10.16
2017-11-26,,7.62
2017-11-27,,7.62
2017-11-28,,7.62
2017-11-29,,17.78
2017-11-30,,15.24
2017-12-01,,15.24
2017-12-02,,15.24
2017-12-03,,20.32
2017-12-04,,20.32
2017-12-05,,22.86
2017-12-06,,20.32
2017-12-07,,20.32
2017-12-08,,20.32
2017-12-09,,20.32
